iter	RMSE
0	1.787542373
1	1.71002549
2	1.657277736
3	1.624676493
4	1.599467325
5	1.590201949
6	1.577677325
7	1.567179404
8	1.555962479
9	1.54579881
10	1.525685096
11	1.500439305
12	1.486005589
13	1.471560486
14	1.455217457
15	1.44314809
16	1.433742773
17	1.4246871
18	1.420505529
19	1.41824225
20	1.400096141
21	1.38971998
22	1.367793946
23	1.358405445
24	1.348972504
25	1.332532565
26	1.322821219
27	1.313190401
28	1.311610913
29	1.296804274
30	1.281216092
31	1.271396779
32	1.258655338
33	1.240336855
34	1.229874148
35	1.214130659
36	1.210403961
37	1.203212265
38	1.196228248
39	1.180400002
40	1.179254008
41	1.170973422
42	1.152430963
43	1.151301537
44	1.137903386
45	1.132285028
46	1.123222858
47	1.11791805
48	1.109774236
49	1.10409615
50	1.097964518
51	1.095968431
52	1.095145105
53	1.094574732
54	1.089489174
55	1.087221496
56	1.076684316
57	1.066746921
58	1.056786214
59	1.049580948
60	1.04798355
61	1.042669191
62	1.033934111
63	1.026580138
64	1.019557106
65	1.017110016
66	1.013704271
67	1.003966046
68	1.002799986
69	0.9941593374
70	0.98935969
71	0.9872116018
72	0.9805570397
73	0.9714874056
74	0.9655203803
75	0.9615692863
76	0.9561810021
77	0.9548728807
78	0.9436465528
79	0.9405268028
80	0.9366889219
81	0.9231388433
82	0.9207813431
83	0.9169296743
84	0.9050448764
85	0.8940198421
86	0.8853703718
87	0.8826654488
88	0.8769367256
89	0.8739147363
90	0.8619570044
91	0.8608103204
92	0.8482763791
93	0.8353557998
94	0.8350905731
95	0.8302978359
96	0.8212350796
97	0.8172188242
98	0.8140860463
99	0.813770672
