iter	Passed	Remaining
0	2	201
1	4	205
2	5	164
3	6	147
4	7	134
5	7	124
6	9	129
7	12	138
8	12	131
9	14	128
10	15	128
11	17	124
12	19	127
13	21	129
14	22	129
15	23	125
16	24	121
17	26	118
18	26	114
19	27	111
20	28	107
21	30	107
22	31	107
23	33	105
24	34	104
25	35	101
26	36	99
27	37	96
28	38	94
29	39	91
30	40	89
31	41	87
32	42	85
33	42	83
34	44	82
35	45	80
36	46	79
37	47	77
38	48	75
39	48	73
40	50	72
41	50	70
42	51	68
43	52	67
44	53	65
45	54	64
46	55	62
47	56	61
48	57	59
49	58	58
50	59	57
51	60	55
52	61	54
53	63	54
54	64	52
55	65	51
56	67	50
57	69	50
58	70	49
59	72	48
60	73	46
61	74	45
62	74	44
63	75	42
64	77	41
65	78	40
66	79	39
67	80	37
68	81	36
69	82	35
70	83	33
71	84	32
72	84	31
73	85	30
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	100	13
88	101	12
89	102	11
90	102	10
91	103	9
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
